ward_id,ward_name,province_id
10105001,Phường Hoàn Kiếm,101
10105002,Phường Cửa Nam,101
10101003,Phường Ba Đình,101
10101004,Phường Ngọc Hà,101
10101005,Phường Giảng Võ,101
10107006,Phường Hai Bà Trưng,101
10107007,Phường Vĩnh Tuy,101
10107008,Phường Bạch Mai,101
10109009,Phường Đống Đa,101
10109010,Phường Kim Liên,101
10109011,Phường Văn Miếu - Quốc Tử Giám,101
10109012,Phường Láng,101
10109013,Phường Ô Chợ Dừa,101
10103014,Phường Hồng Hà,101
10108015,Phường Lĩnh Nam,101
10108016,Phường Hoàng Mai,101
10108017,Phường Vĩnh Hưng,101
10108018,Phường Tương Mai,101
10108019,Phường Định Công,101
10123020,Phường Hoàng Liệt,101
10108021,Phường Yên Sở,101
10111022,Phường Thanh Xuân,101
10111023,Phường Khương Đình,101
10111024,Phường Phương Liệt,101
10113025,Phường Cầu Giấy,101
10113026,Phường Nghĩa Đô,101
10113027,Phường Yên Hoà,101
10103028,Phường Tây Hồ,101
10157029,Phường Phú Thượng,101
10157030,Phường Tây Tựu,101
10157031,Phường Phú Diễn,101
10157032,Phường Xuân Đỉnh,101
10157033,Phường Đông Ngạc,101
10157034,Phường Thượng Cát,101
10155035,Phường Từ Liêm,101
10155036,Phường Xuân Phương,101
10155037,Phường Tây Mỗ,101
10155038,Phường Đại Mỗ,101
10106039,Phường Long Biên,101
10106040,Phường Bồ Đề,101
10106041,Phường Việt Hưng,101
10106042,Phường Phúc Lợi,101
10127043,Phường Hà Đông,101
10127044,Phường Dương Nội,101
10127045,Phường Yên Nghĩa,101
10127046,Phường Phú Lương,101
10127047,Phường Kiến Hưng,101
10123048,Xã Thanh Trì,101
10123049,Xã Đại Thanh,101
10123050,Xã Nam Phù,101
10123051,Xã Ngọc Hồi,101
10123052,Phường Thanh Liệt,101
10143053,Xã Thượng Phúc,101
10143054,Xã Thường Tín,101
10143055,Xã Chương Dương,101
10143056,Xã Hồng Vân,101
10149057,Xã Phú Xuyên,101
10149058,Xã Phượng Dực,101
10149059,Xã Chuyên Mỹ,101
10149060,Xã Đại Xuyên,101
10141061,Xã Thanh Oai,101
10141062,Xã Bình Minh,101
10141063,Xã Tam Hưng,101
10141064,Xã Dân Hoà,101
10147065,Xã Vân Đình,101
10147066,Xã Ứng Thiên,101
10147067,Xã Hoà Xá,101
10147068,Xã Ứng Hoà,101
10145069,Xã Mỹ Đức,101
10145070,Xã Hồng Sơn,101
10145071,Xã Phúc Sơn,101
10145072,Xã Hương Sơn,101
10153073,Phường Chương Mỹ,101
10153074,Xã Phú Nghĩa,101
10153075,Xã Xuân Mai,101
10153076,Xã Trần Phú,101
10153077,Xã Hoà Phú,101
10153078,Xã Quảng Bị,101
10151079,Xã Minh Châu,101
10151080,Xã Quảng Oai,101
10151081,Xã Vật Lại,101
10151082,Xã Cổ Đô,101
10151083,Xã Bất Bạt,101
10151084,Xã Suối Hai,101
10151085,Xã Ba Vì,101
10151086,Xã Yên Bài,101
10129087,Phường Sơn Tây,101
10129088,Phường Tùng Thiện,101
10129089,Xã Đoài Phương,101
10131090,Xã Phúc Thọ,101
10131091,Xã Phúc Lộc,101
10131092,Xã Hát Môn,101
10135093,Xã Thạch Thất,101
10135094,Xã Hạ Bằng,101
10135095,Xã Tây Phương,101
10135096,Xã Hoà Lạc,101
10135097,Xã Yên Xuân,101
10139098,Xã Quốc Oai,101
10139099,Xã Hưng Đạo,101
10139100,Xã Kiều Phú,101
10139101,Xã Phú Cát,101
10137102,Xã Hoài Đức,101
10137103,Xã Dương Hoà,101
10137104,Xã Sơn Đồng,101
10137105,Xã An Khánh,101
10133106,Xã Đan Phượng,101
10133107,Xã Ô Diên,101
10133108,Xã Liên Minh,101
10119109,Xã Gia Lâm,101
10119110,Xã Thuận An,101
10119111,Xã Bát Tràng,101
10119112,Xã Phù Đổng,101
10117113,Xã Thư Lâm,101
10117114,Xã Đông Anh,101
10117115,Xã Phúc Thịnh,101
10117116,Xã Thiên Lộc,101
10117117,Xã Vĩnh Thanh,101
10125118,Xã Mê Linh,101
10125119,Xã Yên Lãng,101
10125120,Xã Tiến Thắng,101
10125121,Xã Quang Minh,101
10115122,Xã Sóc Sơn,101
10115123,Xã Đa Phúc,101
10115124,Xã Nội Bài,101
10115125,Xã Trung Giã,101
10115126,Xã Kim Anh,101
22113001,Xã Đại Sơn,223
22113002,Xã Sơn Động,223
22113003,Xã Tây Yên Tử,223
22113004,Xã Dương Hưu,223
22113005,Xã Yên Định,223
22113006,Xã An Lạc,223
22113007,Xã Vân Sơn,223
22107008,Xã Biển Động,223
22107009,Xã Lục Ngạn,223
22107010,Xã Đèo Gia,223
22107011,Xã Sơn Hải,223
22107012,Xã Tân Sơn,223
22107013,Xã Biên Sơn,223
22107014,Xã Sa Lý,223
22107015,Xã Nam Dương,223
22121016,Xã Kiên Lao,223
22121017,Phường Chũ,223
22121018,Phường Phượng Sơn,223
22115019,Xã Lục Sơn,223
22115020,Xã Trường Sơn,223
22115021,Xã Cẩm Lý,223
22115022,Xã Đông Phú,223
22115023,Xã Nghĩa Phương,223
22115024,Xã Lục Nam,223
22115025,Xã Bắc Lũng,223
